朝日丘町
天之川町
伊加賀東町
伊加賀西町
伊加賀南町
伊加賀北町
伊加賀寿町
伊加賀栄町
伊加賀本町
伊加賀緑町
池之宮
磯島茶屋町
磯島南町
磯島北町
磯島元町
印田町
上野
宇山町
宇山東町
大垣内町
大峰東町
大峰南町
大峰北町
大峰元町
岡東町
岡本町
岡南町
岡山手町
小倉町
小倉東町
甲斐田新町
甲斐田東町
甲斐田町
春日東町
春日西町
春日北町
春日元町
春日野
片鉾東町
片鉾本町
上島町
上島東町
川原町
菊丘町
菊丘南町
北片鉾町
北楠葉町
北中振
北船橋町
北山
禁野本町
楠葉朝日
楠葉丘
楠葉中之芝
楠葉中町
楠葉並木
楠葉野田
楠葉花園町
楠葉美咲
楠葉面取町
車塚
高田
交北
高野道
香里園桜木町
香里園東之町
香里園山之手町
香里園町
香里ケ丘
黄金野
御殿山町
御殿山南町
桜丘町
桜町
釈尊寺町
招提大谷
招提田近
招提中町
招提平野町
招提東町
招提南町
招提北町
招提元町
新之栄町
新町
翠香園町
杉
杉北町
杉責谷
杉山手
須山町
宗谷
尊延寺
高塚町
田口
田口山
田宮本町
津田
津田駅前
津田東町
津田西町
津田南町
津田北町
津田元町
津田山手
堤町
出口
出屋敷西町
出屋敷元町
藤田町
堂山
堂山東町
中宮大池
中宮北町
中宮東之町
中宮西之町
中宮本町
中宮山戸町
長尾荒阪
長尾家具町
長尾谷町
長尾峠町
長尾播磨谷
長尾東町
長尾西町
長尾北町
長尾宮前
長尾元町
長尾台
渚内野
渚栄町
渚本町
渚東町
渚南町
渚元町
渚西
茄子作
茄子作東町
茄子作南町
茄子作北町
西禁野
西招提町
西田宮町
西船橋
西牧野
野村中町
野村南町
野村北町
野村元町
走谷
東香里
東香里新町
東香里南町
東香里元町
東田宮
東藤田町
東中振
東船橋
東牧野町
東山
樋之上町
氷室台
枚方上之町
枚方公園町
枚方元町
藤阪天神町
藤阪中町
藤阪東町
藤阪西町
藤阪南町
藤阪北町
藤阪元町
船橋本町
星丘
穂谷
牧野北町
牧野阪
牧野下島町
牧野本町
町楠葉
松丘町
三矢町
南楠葉
南中振
南船橋
都丘町
宮之阪
宮之下町
村野高見台
村野東町
村野西町
村野南町
村野本町
三栗
養父東町
養父西町
養父元町
養父丘
山田池公園
山田池東町
山田池南町
山田池北町
山之上
山之上東町
山之上西町
山之上北町
王仁公園
